attachment,duration_hours,triggered,rl_prob
0.005,169.0,1.0,1.0
0.01,164.0,1.0,0.9761904761904762
0.02,158.0,1.0,0.9404761904761905
0.03,154.0,1.0,0.9166666666666666
0.05,146.0,1.0,0.8690476190476191
0.075,141.0,1.0,0.8392857142857143
0.1,137.0,1.0,0.8154761904761905
0.15,132.0,1.0,0.7857142857142857
0.2,107.0,1.0,0.6369047619047619
0.3,75.0,1.0,0.44642857142857145
0.4,54.0,1.0,0.32142857142857145
0.5,35.0,1.0,0.20833333333333334
