attachment,duration_hours,triggered,rl_prob
0.005,53.0,1.0,0.44166666666666665
0.01,44.0,1.0,0.36666666666666664
0.02,34.0,1.0,0.2833333333333333
0.03,25.0,1.0,0.20833333333333334
0.05,0.0,0.0,0.0
0.075,0.0,0.0,0.0
0.1,0.0,0.0,0.0
0.15,0.0,0.0,0.0
0.2,0.0,0.0,0.0
0.3,0.0,0.0,0.0
0.4,0.0,0.0,0.0
0.5,0.0,0.0,0.0
