model,score,mse,family
power_law_α=1.5,-0.0014304703193424404,0.0013648787922260256,power
power_law_α=1.0,-0.0018110615321562616,0.0015305208333333334,power
power_law_α=2.0,-0.0019529251328187737,0.00186118173673804,power
duration_α=10.0_γ=0.02,-0.002442858655655386,0.0020929347423881157,duration
power_law_α=3.0,-0.002684547952974115,0.0025564919822086665,power
