model,score,mse,family
power_law_α=1.5,-0.0018064003447244516,0.001726164770291268,power
duration_α=10.0_γ=0.02,-0.0019102597404597732,0.0017052694288591799,duration
power_law_α=1.0,-0.0020760311694695438,0.0018382175925925925,power
power_law_α=2.0,-0.002254505353744483,0.0021353908416763116,power
power_law_α=3.0,-0.0028253122491001714,0.0026698806138959097,power
