model,score,mse,family
piecewise_b=0.1_α=5.0,-0.009186039859445877,0.004373530845013737,piecewise
exp_decay_α=2.0,-0.014087638832907576,0.004195988027603642,exp
piecewise_b=0.01_α=2.0,-0.016212208282554517,0.004935418763336665,piecewise
piecewise_b=0.03_α=2.0,-0.02152801075573944,0.006945461400961028,piecewise
piecewise_b=0.05_α=5.0,-0.022851563938070876,0.009530134002450992,piecewise
